Company Name,Company Ratings,Services,Advantage_DisAdv,Details
FIS,3.9,FinTech | 10k-50k Employees | 55 years old | Jacksonville +36 more,"['Work Life Balance, Company Culture, Job Security']","['4.5k Reviews', '37k Salaries', '278 Interviews', '53 Jobs', '731 Benefits', '16 Photos']"
Hindustan Unilever,4.2,FMCG | 10k-50k Employees | Public | 151 years old | London +400 more,"['Skill Development / Learning, Job Security, Company Culture']","['4.5k Reviews', '20.3k Salaries', '216 Interviews', '186 Jobs', '652 Benefits', '-- Photos']"
IIFL Finance,3.8,Financial Services | 10k-50k Employees | Public | 28 years old | Mumbai +604 more,[],"['4.5k Reviews', '17.5k Salaries', '198 Interviews', '145 Jobs', '428 Benefits', '5 Photos']"
Amazon Development Centre India,4.2,Internet | 10k-50k Employees | Hyderabad/Secunderabad +55 more,"['Company Culture, Salary & Benefits, Work Life Balance']","['4.4k Reviews', '4.5k Salaries', '316 Interviews', '26 Jobs', '9 Benefits', '6 Photos']"
Quess,3.9,Recruitment | 1 Lakh+ Employees | Public | 16 years old | Bangalore +461 more,['Work Life Balance'],"['4.4k Reviews', '21.9k Salaries', '244 Interviews', '238 Jobs', '438 Benefits', '5 Photos']"
TATA Steel,4.1,Iron & Steel | 1 Lakh+ Employees | Public | 116 years old | Mumbai +143 more,"['Job Security, Skill Development / Learning, Work Life Balance']","['4.3k Reviews', '19.8k Salaries', '403 Interviews', '46 Jobs', '614 Benefits', '13 Photos']"
Hexaware Technologies,3.7,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 33 years old | Mumbai +38 more,[],"['4.2k Reviews', '41.1k Salaries', '346 Interviews', '317 Jobs', '541 Benefits', '23 Photos']"
KPMG India,3.6,Management Consulting | 10k-50k Employees | 36 years old | Bengaluru/Bangalore +70 more,['Job Security'],"['4.2k Reviews', '53.3k Salaries', '458 Interviews', '1.2k Jobs', '742 Benefits', '5 Photos']"
Sun Pharmaceutical Industries,4.1,Pharma | 10k-50k Employees | Public | 40 years old | Mumbai +179 more,"['Job Security, Skill Development / Learning, Salary & Benefits']","['4.2k Reviews', '19.3k Salaries', '215 Interviews', '107 Jobs', '588 Benefits', '8 Photos']"
Home Credit Finance,4.2,Financial Services | 10k-50k Employees | 11 years old | Gurugram +108 more,"['Skill Development / Learning, Company Culture, Work Life Balance']","['4.2k Reviews', '11.6k Salaries', '89 Interviews', '152 Jobs', '613 Benefits', '-- Photos']"
JSW Steel,3.9,Iron & Steel | 10k-50k Employees | Public | 41 years old | Mumbai +119 more,"['Job Security, Skill Development / Learning']","['4.1k Reviews', '22.6k Salaries', '318 Interviews', '55 Jobs', '578 Benefits', '12 Photos']"
Ujjivan Small Finance Bank,4.1,Banking | 10k-50k Employees | Public | 6 years old | Bangalore/Bengaluru +408 more,"['Company Culture, Job Security, Skill Development / Learning']","['4.1k Reviews', '12.1k Salaries', '135 Interviews', '68 Jobs', '577 Benefits', '2 Photos']"
Shapoorji Pallonji Group,4.2,Engineering & Construction | 5k-10k Employees | Conglomerate | 158 years old | Mumbai +150 more,"['Job Security, Company Culture, Skill Development / Learning']","['4k Reviews', '15k Salaries', '215 Interviews', '28 Jobs', '627 Benefits', '5 Photos']"
OPPO,3.9,Consumer Electronics & Appliances | 10k-50k Employees | Public | 19 years old | Dongguan +352 more,['Skill Development / Learning'],"['4k Reviews', '13.7k Salaries', '159 Interviews', '19 Jobs', '625 Benefits', '7 Photos']"
Max Life Insurance,4.1,Insurance | 10k-50k Employees | 23 years old | Gurgaon/Gurugram +359 more,"['Company Culture, Skill Development / Learning, Job Security']","['4k Reviews', '14.9k Salaries', '173 Interviews', '424 Jobs', '488 Benefits', '-- Photos']"
Oracle,3.9,Software Product | 50k-1 Lakh Employees | Public | 46 years old | Austin +38 more,"['Work Life Balance, Job Security, Company Culture']","['4k Reviews', '48.8k Salaries', '468 Interviews', '212 Jobs', '604 Benefits', '19 Photos']"
Aurobindo Pharma,4.0,Pharma | 10k-50k Employees | Public | 37 years old | Hyderabad/Secunderabad +71 more,['Job Security'],"['4k Reviews', '21.1k Salaries', '154 Interviews', '6 Jobs', '459 Benefits', '7 Photos']"
Muthoot Finance,3.5,NBFC | 10k-50k Employees | Public | 84 years old | Kochi/Cochin +571 more,[],"['4k Reviews', '11.5k Salaries', '148 Interviews', '283 Jobs', '318 Benefits', '3 Photos']"
Shriram Transport Finance,4.1,NBFC | 10k-50k Employees | Public | 44 years old | Mumbai +748 more,"['Job Security, Skill Development / Learning, Work Life Balance']","['3.9k Reviews', '9.1k Salaries', '142 Interviews', '-- Jobs', '488 Benefits', '12 Photos']"
Ashok Leyland,4.1,Automobile | 10k-50k Employees | Public | 75 years old | Chennai +197 more,"['Skill Development / Learning, Work Satisfaction, Company Culture']","['3.9k Reviews', '18.6k Salaries', '146 Interviews', '1 Jobs', '642 Benefits', '10 Photos']"
eClerx,3.5,IT Services & Consulting | 10k-50k Employees | Public | 23 years old | Mumbai +17 more,"['Promotions / Appraisal, Salary & Benefits']","['3.9k Reviews', '25.8k Salaries', '284 Interviews', '118 Jobs', '548 Benefits', '15 Photos']"
Siemens,4.2,Power | 5k-10k Employees | Public | 176 years old | Munich +118 more,"['Job Security, Work Life Balance, Company Culture']","['3.9k Reviews', '26.6k Salaries', '229 Interviews', '1.3k Jobs', '622 Benefits', '9 Photos']"
